swadesh.language,swadesh.english,HScollapsed,poabodypartmerge,swadesh.twohands,swadesh.pmv
Spanish,name,n2,Head,false,Y_down
Spanish,narrow,y4,Lateral,true,X_left
Spanish,new,n2,Vertical,true,UNDEF
Spanish,night,y4,Vertical,true,Y_down
Spanish,old,n0,Head,false,Z_back
Spanish,other,y1,Horizontal,false,X_right
Spanish,person,y1,Horizontal,false,Y_down
Spanish,pig,y4,Head,false,UNDEF
Spanish,play,y4,Horizontal,true,UNDEF
Spanish,rain,y4,Horizontal,true,Y_down
Spanish,red,n1,Head,false,UNDEF
Spanish,river,y4,Head,false,Z_back
Spanish,sea,n0,Hand,false,Z_front
Spanish,sharp,n2,Hand,false,Y_down
Spanish,short,y4,Horizontal,false,Y_down
Spanish,singing,y4,Lateral,false,Y_up
Spanish,sister,n2,Horizontal,false,UNDEF
Spanish,sit,y2,Horizontal,true,Y_down
Spanish,snake,n1,Hand,false,UNDEF
Spanish,snow,y4,Vertical,true,Y_down
Spanish,stand,y4,Vertical,true,Y_down
Spanish,star,y1,Vertical,true,Y_down
Spanish,stone,y0,Lateral,true,X_left
Spanish,string,n1,Lateral,true,X_right
Spanish,sun,y1,Vertical,false,UNDEF
Spanish,tail,n1,Hand,false,UNDEF
Spanish,thin,n1,Vertical,false,Y_down
Spanish,tree,y4,Hand,false,UNDEF
Spanish,vomit,y4,Head,false,Z_front
Spanish,warm,y1,Lateral,true,UNDEF
Spanish,water,y4,Head,false,Z_back
Spanish,wet,y4,Horizontal,true,Y_down
Spanish,what,y1,Lateral,false,X_left
Spanish,when,n4,Vertical,false,UNDEF
Spanish,where,y4,Horizontal,false,Z_back
Spanish,white,y1,Torso,false,Z_front
Spanish,who,y1,Horizontal,false,UNDEF
Spanish,wide,y4,Lateral,true,X_right
Spanish,wife,n1,Hand,false,UNDEF
Spanish,wind,n4,Horizontal,true,Z_back
Spanish,with,y4,Lateral,true,X_left
Spanish,woman,y1,Head,false,Z_back
Spanish,wood,y4,Hand,false,Z_front
Spanish,work,n0,Hand,false,Y_down
Spanish,worm,n1,Horizontal,false,Z_front
Spanish,year,n0,Vertical,false,X_left
Spanish,yellow,y1,Head,false,UNDEF
Portuguese,animal,y4,Head,false,UNDEF
Portuguese,bad,y1,Horizontal,false,Y_down
Portuguese,because,y4,Head,false,Z_back
Portuguese,bird,y1,Head,false,UNDEF
Portuguese,black,n1,Head,false,Z_back
